Index,Username,Comment
770,@AfsanaAkterDolon,thank you so much vaiya
771,@mohammedmozammelhossain3424,অসাধারণ 
772,@user-ex5um6el5n,"Unake deke ami amr journey start korsi… 
Purai hopeless silam … hoito kisu hobe na amk diye … but vhai k deke abr new start korlam sob… inshallah vai er sathe deka korte jabo akdin️"
773,@serkitpolapain9204,Best Podcast...অনেক কিছু শেখার আছে
774,@thoughtscapes-official,it was a great podcast.please bring antik mahmud to this podcast next time.
775,@md.sabbirhoshen2419,copy past করে বেশি দূর যেতে পারবা না ভাই তুমি আমাদের মেন্টর মুজদাহিদুল ইসলামের পুরো কোর্স কপি করে যাচ্ছ বেশির ভাগ কথায় কপি করা। তুমি সৎ  থাকলে আরো ভালো কিছু করতে পারতা আল্লাহ্ ছাড় দেন ছেড়ে দেন না। তুমার এই পাপের ফল তুমি একদিন পাবা ইন শা আল্লাহ্
776,@user-pn6vr4hf8o,১ঘন্টা ১৮ মিনিট কিভাবে শেষ হলো বুঝতেই পারিনি আলহামদুলিল্লাহ
777,@b-to-a-learning,"Vai sotti kotha bolte ami shahrose fardi vaiyer duita course korecilam, Jeta onar ager course cilo... Ami kono rokom value paini sei course theke.. Tai ekhon jei lok thokanor byabosa chalu korece setao korini.. 
Ami sobaike bolte chai ei comment ami ekanto personally sokolke sotorko korar jonno koreci.. Asole fardi vai nijer business valo vabe korte pare,,But apnake kokhonoi se value ba support provide korben na"
778,@nasifshahriar4375,"অসাধারণ পডকাস্ট, মন্ত্রমুগ্ধের মত দেখেছি। "
779,@alifhaider7866,আমি আপনাদের প্রতিটা podcast একদম আপলোড দেওয়ার সাথে সাথে এক বসায় শুরু থেকে শেষ পর্যন্ত খুবই মনোযোগ সহকারে দেখি। এবং আমি ব্যাপকভাবে লাভবান। দয়া করে সোলায়মান সুখন ভাইকে আপনাদের podcast-এ আনুন। অনেক খুশি হবো।
780,@shahedsalman9325,"আমি Shahrose Fardi ভাই এর ফেইসবুক মার্কেটিং কোর্স করেছি।
সত্যি বলতে আসলেই বাংলাদেশে এমন একজন'ও নেই যে ওনার মতো বোঝানোর ক্ষমতা রাখে তাও এত্তো ডিপলি ভাবে ️"
781,@user-si1rc2sg7z,"Shahrose Fardi Recommended  book ""Building a Story Brand by Donald Miller"""
782,@boshontodut,অসম্ভব রকমের জিনিয়াস 
783,@babyshopgallery1,ভাই অনেক কিছু জানতে পারলাম অনেক ভালো লাগলো সারস ফারদিন ভাই মানেই ভিন্ন কিছু  আল্লাহ তাআলা আপনাকে সুস্থ রাখুক
784,@user-ig1tn6cf6o,Excellent !!!
785,@cartoonghor7748,"go ahead brother,its gonna viral and you really deserve it"
786,@Misternaught,ভালো লাগলো অনেক কিছুই জানলাম l
787,@ArifulIslam-xm7ki,"Now, that's called a setup and branding !"
788,@freelancersajib6803,"ফারদি ভাইয়ের কোর্স এ যা আছে, এর আগে এগুলো পাই নি। অনেক কিছু থেকে আমরা পিছিয়ে। ধন্যবাদ ফারদি ভাইয়া এমন কিছু দেয়ার জন্যে আমাদের। দোয়া করি আরো অনেকদুর এগিয়ে যান। "
789,@AdventureWorldEntertainment,Productive video
790,@tarikzaman1348,Just awesome..
791,@khadijamim6530,ফ্রিল্যান্সিং সেক্টরে আপনার গাইডলাইন আমাদের প্রয়োজন
792,@adifas9848,Best episode 
793,@SURAIYASHIFA,I wish this podcast was 10 hours long
794,@mohammedabdussubhan9182,Awesome
795,@likhonkhan86,আমাদের ময়মনসিংহের গর্ব️
796,@JibonVai2.0,ভাইএর সব ভিডিও দেখে বিসনেস ও করতেছি ইনশাআল্লাহ। ভাই একটা অন্য রকম জিনিস। ভালো বাসা রইলো এই প্রোডকাস্ট থেকেও অনেক কিছু শিখলাম। আমি হাটতে পারি নাহ হুইলচেয়ারে চলাচল। তবে অনলাইন এ বিসনেস অনেক ভালো লাগে। মানে এটা ভালো বাসার জিনিস এর মত।
797,@atiqul6490,Best Podcast... Best of luck vaiya ️
798,@BMOMOR-420,উনি আসলেই একজন ভালো মেন্টর ওনার কাছ থেকে অনেক কিছু শিখার আছে। তবে আমরা যারা জিরো আমাদের একটু সহযোগিতা করলে আমরা খুবই উপক্রিত হই। প্লিজ
799,@abubinyousuf,Fardi bhai is a good mentor..
800,@easternalliance7496,I wish you all the best. Congratulations Mr.Fardi.
801,@Mental_Health_by_Juthi,Amio Psychologyr student......
802,@penbook5096,ইনশাআল্লাহ ফারদি ভাইয়ার সাথে খুব তাড়াতাড়ি দেখা করবো️
803,@asifhaidarrifat2926,"অডিয়েন্স এর সাইকোলজি বুঝে পিডিএফ বানিয়ে নিজের অথরিটি তৈরি করার যে স্টেপ ছিলো, দ্যাট ওয়াজ আমেজিং।"
804,@Progaming_6790,আপনার সাথে দেখা করতে চাই  কি ভাবে দেখা পেতে পারি  জানাব
805,@muradsikder2306,Best podcast I have ever seen!!!
806,@alifarmanturzo1584,requested to do a podcast with Fahmid Bhai
807,@sahidalraji3958,Masallah  অনেক মোটিভেটেড হলাম Shahrose fardi ভাইয়ের মূল্যবান কথা গুলো শুনে
808,@manjilahmed1787,"ভেবেছিলাম তিনভাগ করে, ৩ বারে দেখব কিন্তু শেষ করে ফেলেছি  বলতেই পারিনি সময় কখন গেল ধন্যবাদ        2 cents Podcastকে"
809,@Mdibnesadat-rocky,Thanks 
810,@TheRealRifat,ফারদি ভাই সত্যিই একটা ভালো মনের মানুষ তার পেইড কোর্সের কোথাও বাদ দিলাম তার ফ্রি কোর্স যে পরিমাণ ভ্যালু দিছে যা বলে বোঝানো সম্ভব না। এই পডকাস্ট টা আমার কাছে খুবই খুবই ভালো লাগছে। আমি শিওর  এই চ্যানেলের বেস্ট পডকাস্ট হবে
811,@hyderullahshoad8064,Valo ekta platform a arokom chapabaz lokder ana uchit hoynai.
812,@ShadowVoiceBA,মাশা-আল্লাহ 
813,@omarshahed9592,"অসাধারণ। 
ভাইয়া অনেক ভালো বুঝায়..."
814,@rezuanrizvy1488,Ma Sha Allah ️
815,@mdoliullahmirdha,অসম্ভব রকমের জিনিয়াস 
816,@md.ismailhossain5402,"বেশ কয়েক বছর আগে সে ইউটিউবে ভিডিও বানাতো অনলাইন ইনকাম রিলেটেড,যদিও সেগুলো ইউনিক ছিল না।অনেক দিন ভিডিও দেখতাম তার।কিন্তু কাজের ছিল না সেগুলো।অনেক ওয়েবসাইট অ্যাপনিয়ে ভিডিও বানাতো।যা শুধু সময় নষ্ট ছিল।তাই তার ভিডিও দেখা বাদ দিয়েছিলাম আর দেখা হয়নি।কিন্তু আজকে সে অনেক দূর এগিয়ে গিয়েছে সঠিক লাইন ধরে।"
817,@aroozfoodrecipe,"ফারদি ভাই  আমার কাছে  বেস্ট মেন্টর , ভাইয়ের ফ্রী ক্লাস থেকেও এ্যাডভান্স টপিক শেখা যায় আলহামদুলিল্লাহ।"
818,@joydas338,জোশ ভাই জোশ। অনেক মানুষ ভিডিও না দেখেই কমেন্ট করতেছে। কিন্তু কেউ আপনার এই পডকাস্ট দেখলে যদি আপনাকে অপছন্দও করে থাকে তবুও সে আপনাকে ভালোবাসা ও গুরু মনে করা শুরু করবে। যে যাই বলুক ভাই এগিয়ে যান। আপনার চ্যানেল সাবস্ক্রাইব করেছি।
819,@KidsLifestyle2,শাহরোজ ভাই মানেই জিনিয়াস
820,@LeAggeggio,really great. amon aro podcast chai bhaia
821,@arayantechz,নতুন উদ্যোক্তাদের জন্য হতে পারে এটি একটি সেরা পডকাস্ট .Go Ahead Brother
822,@afrahadislamicchannel04,Vai Video Sound ta r ektu beshi hle Valo hoto 
823,@amzadhossainriad8525,"Fardi vai boss

Onar Course & onar idea sob e best...one of the best entrepreneur of Bangladesh"
824,@topskillzone,"আলহামদুলিল্লাহ 127 জন পরিবার নিয়ে আলহামদুলিল্লাহ,  আপনাদের ভালোবাসা ইনশাআল্লাহ আরও সফল হব "
825,@Grafixing-Mentoring,awesome!
826,@AbdulLatif-ph1yv,this podcast deserve million views
827,@user-re9co7zm8r,Thanks
828,@mdzislams,অসাধারণ ভাই আশাকরি আপনার সাথে সামনা-সামনি কোন একদিন দেখা হবে এবং একসাথে চা পান  করবো ইনশাআল্লাহ
829,@Humanitybywahabchowdhury,"Fahmid Al Nayeem Vaike 2 Cents Podcast এ দেখতে চাই, যিনি হলেন ডিজিটাল মার্কেটিং এর বস- যারা ভাইকে চিনেন,আশা করি সবাই একমত হবেন"
830,@jihadhossainomi4115,28:50 এই পার্টটা মনে হয় সব পেঁয়াজ ব্যবসায়ীরা  দেখসে এইজন্যই ১০০ টাকার পেঁয়াজ ২০০ টাকা।
831,@Amanullah-bz6fx,"agro based online business, Shakib agro ltd এর M.D স্যারকে podcast এ দেখতে চাই।"
832,@lovenature666,Bro I am a digital marketer. I watch your 2 cent podcast regularly but watching today's video I learned a lot more that I never knew. Brother I want more videos like this
833,@ahnafalif487,Met Sazzad vaia today at Jolshiri central park in Adamjee's Study tour !
834,@dynamicmaker8788,"আসসালামু আলাইকুম, একদিন এই পডকাস্টে আমিও আমার সফলতার গল্প বলবো, ইনশাআল্লাহ।"
835,@IamS.S.I, 1:16:35 It seems that Touhid Afridi is mentioned here
836,@LabbaiekHaj,please invite Solaiman Shukhon.
837,@daralislambd,"উনার বসার স্টাইল দেখে অনেক কিছুই লিখতে ইচ্ছে করছে, কিন্তু লিখলাম নাহ, হয়তো বয়সের দোষ , সামনে দুইজন সিনিয়র পাওরসোন বসা, তারপরও উনার বসা আর জামার স্টাইল দেখে কারো কি মনে কিছুই আসে নাহ "
838,@shahinfaisal7479,"ভাই আমি নিজেই বসে আছি যে কবে ম্যাসেজ দিবেন আর মিটিং এ বসবেন।ভিডিওর ১৮.৫৬ মিনিট চলছে।
নিজেও রিলেট করছি -.-"
839,@MorshedaRenu-qh4bn,অনেক সুন্দর করে বোঝান আপনি। এটা সবাই পারেনা।
840,@user-cd2kc3gj2d,Excellent video. 
841,@washimkhansujon,যাক অবশেষে স্বীকার করলেন.. স্টোরি ব্র্যান্ড
842,@workupjob3781,ভাই যখন এটা আপলোড হইছে তখন আমি গাড়িতে ছিলাম কিন্তু ভিডিওর দিকে তাকাইনাই কারন আওয়াজ ছিলো বাহিরে অনেক সুধু কথা গুলা সুনছি জদিও এত বড় ভিডিও কখনো আমি এত ধৈর্য ধরে দিখিনাই কিন্তু কেন যেন ভিডিওটা টানতে মনে চাচ্ছিলোনা শেষ পর্যন্ত মনোজোগ দিয়ে শুনেছি
843,@asadulislamimran1033,"Alhamdulillah,,,, vaia onak valo kesu share korsan "
844,@ryanabir1943,Podcast a Sajjad vai re khuje passilam na
845,@perfectbarista,52:50 বইটার নাম কী?
846,@mdnahid1352,Intelligent person 
847,@mdrayhanuddinmolla,Excilent Vai
848,@Moner-Khorak,khub valo laglo vai
849,@itkanbinsarwar2334,Looks Great! Sazzad bhai!
850,@farid55555,52:50 বই টার নাম ধরতে পারলাম না।দয়া করে বইটার নাম টা বলেন।
851,@abdullahalmehadymeraz4428,"Outstanding confident Hero. আপনি একজন নলেজ শেয়ারিং এন্ড ক্যারিং পারসন ভাইয়া অনেক ধন্যবাদ।

আপনাকে আমরা আরও অনেক ইন ডিটেলসে দেখতে চাই। "
852,@user-gt9ux5mn4z,"সবাই একটু সাবধান। শুধু এতোটুকুই বললাম। 
পেইড কোর্সে  যাওয়ার আগে রিচার্জ করে যাবেন।কী কী শেখাবে আর কী পরিমাণ সাপোর্ট দিবে জেনে যাবেন।"
853,@EasyMerchMoney,Mojtahidul vai kintu Shah Rose er boss. Unar story ke ke sunte chan 2cent podcast e.
854,@mdhumain8217,Masallah
855,@adnanbin7947,"আমি লন্ডনে আসি ২বছর আগে।
এসে খুবই ফ্রাস্ট্রেশনে চলে যাই।
প্ল্যান করতেছি আগামী কয়েক বছর এর মধ্যে দেশে এসে বিজনেস শুরু করার।"
856,@immostakim,Amazing speech
857,@mdarifhossain6141,ভাই। আপনার ফামিদ আল নাঈম ভাইকে দিয়ে একটি podcast করেন। আশা করি তার মাধ্যমেই আরো নতুন কিছু শিখতে পারবো। @Fahmid Al Nayem
858,@sr_shohan,Please read community post comment ️
859,@shahrokavariation4264,Wow bhaia.
860,@sbscale4244,FAHMID AL NAYEEM VAI K EI PROGRAM A DEKHTE CHAI VAI.UNI KHUB INTTELIGENT PERSON.ONK UPOKRITO HOBO
861,@user-ms9mr4mx4d,এই প্রথম কোনো পডকাস্ট এক সেকেন্ডও স্কিপ করিনি। খুব ভালো লাগছে ভিডিওটা অনেক নতুন কিছু জানতে পারছি বুঝতে পারছি আপনার কথা ও অনেক ভালো লাগে। আমি আপনার গ্রাফিক্স ডিজাইন কোর্সটা করে অনেক কিছু শিখতে পারছি। পারিবারিক ঝামেলার করণে আমি একটু পিছিয়ে আছি কিন্তু কোনো সমস্যা নেই আপনি থাকতে। ইনশাআল্লাহ নতুন করে আবার শুরু করবো। এবং আশা রাখি আপনার কোর্স করে আপনার মাধ্যমেই সফল হব একদিন ইনশাআল্লাহ। আপনার জন্য দোয়া ও ভালোবাসা রইলো আপনি আরও অনেক দূর এগিয়ে যাবেন। আর আপনি আমাদের ময়মনসিংহের গর্ব
862,@Rootbangla9,"Vai
Please DR. nabil k akber podcast a ai en"
863,@variouscontentcreation4412,Best business gamer️️️️️
864,@21jenisa13,আমি এখনো অনদকার জগতেই রয়ে গেছি
865,@tajbidahmedsahil5551,Kal k joynul abidin park a daklam apnak
866,@MdMamun-821,আমি মাঝে মাঝে আপনাদের ভিডিও গুলো দেখি এবং অনেক কিছু শিখতে পারি কিন্তু আজকে পুরো ভিডিও টা দেখেছি
867,@Rabbizaman091,apni nijer marketing ta o valo korte perechen good job
868,@curtainshowdown8606,অনেক ভালো লাগার একজন‌ মানুষ।
869,@banglanewstodaysk7136,nice
870,@unlimitedgaming3432,He is a fraud I researched him and his agency has not even 10 visitors and not more than two to three people bought his book. সে daraz কাছ থেকে সিলভার প্লে বোতাম কিনে দেয়ালে টাঙিয়ে রাখে
871,@shuptoantar552,Bujha gelo bebshaye ra kivabe syndicate kore
872,@krishi_onusilon,দোয়া করবেন আমাদেরও আল্লাহ অনেক ভালো রাখছে
873,@3LineMoney,Great men
874,@user-sw6te6qc9t,Sandeep Maheshwari of Bangladesh. 
875,@AstrooSpace.01,Next Podcast a Yahai Amin chai.
876,@rezakhan5533,Impreesive shahrose vy!
877,@abidhasan6724,onek kisu shikhlam
878,@farid55555,52:56 বই টার নাম কি?
879,@kaziabdurrauf,Os3r
880,@SabbirAhmed-tg2xt,Shahrose fardi vai
881,@user-ji2wp3lz2m,i will be success this year
882,@sheikhmarzan9958,I came here watching your ads
883,@MdAbdullah-ob1hl,Masaallah
884,@DigontoShopBD,Maybe i am the biggest fan of this show..
885,@evantus-music,Genius Fardi vai
886,@mehedihassanpranto23,জাস্ট ব্লাস্ট 
887,@pantaenglish,"দারুন,"
888,@sabbirbasar6371,purai fatai felse ! just mindblowing
889,@MeditationMusicYTC,congratulations bondhu
890,@rabiulonbiz,Joss
891,@kiranhossain939,"50:45 e vayya bollo je"" Je boltese tar gharer betha kombe unar buy korar chance beshi,, on the other je boltese ''ey tel kun kun betha komay""
Amr monehoy 2nd question jey lok kortese se o  1st lok tar moton buy korar chance e ase, karon 2nd lok ta ey question kore bujar try kortese je se je bethar tel khujtese eytay shey tel naki hudai amr komor betha bollam aar seller tar matha bethar tel komor bethar tel boyla chalaya dise"
892,@md.mustafizurrahman6676,আমার ময়মনসিংহ এর ছেলে এগিয়ে যাও ভাই
893,@Progaming_6790,জানাবেন ।
894,@aburayhan_haan,হালকা ভাবে তার গুলো তাড়ানো হক
895,@SHAHwaliullah.,Baire bhai   uni ekta zinish
896,@md.shahinurrahmanshahin6684,What a talk
897,@top.failure,10k puji niye call dewa jabe???
898,@imran.2003,"নাফিস ভাই ! দক্ষিণ এশিয়ার সেরা উদ্যোক্তা পুরস্কার প্রাপ্ত, বাংলাদেশের জনপ্রিয় অ্যাপস ডেভেলপার,
মো: জোবায়ের হোসেন ভাই কে আপনাদের পোগ্রামে দেখতে চাই,  প্লিজ প্লিজ প্লিজ "
899,@IamShahRoseFaRdi,"ধন্যবাদ আমাকে এমন একটি সুযোগ দেয়ার জন্য, ইনশাআল্লাহ এই ১ ঘন্টা ১৮ মিনিট কারো বিফলে যাবে না "
900,@clicktechbangla9876,"যারা নেগেটিভ কমেন্ট করতে চেয়েও করতেছেন না, বা যারা এই ভাইকে ভালোভাবেই চিনেন,বা যারা বাশ খেয়েছেন।  তারা লাইক দিন ।"
901,@hasanpranto7689,Bring Numeri Sattar Apar from ACS. He recently generated 12 Crores from a single course.
902,@AfsanaMimi-xd8lp,"আসসালামু আলাইকুম  আমি আফসানা মিমি
আমি  বর্তামানে অনার্স ২য় বর্ষের ছাত্রী  এবং একজন প্রোপেশনালি মেহেদী আর্টিস্ট এবং আর্টের ১২০০ টাকা  দিয়েই আজকে হ্যন্ড পেইন্টিংএর জন্য  সাড়ি আর রং কিনে এনেছি, বাসা আসার পর থেকেই মাথায় গুড়তেছে সুধু বিজনেস করব বিজনেস করবো বল্লে হবেনা আমার রিসার্চ করতে হবে কি ভাবে কি করলে কতদূর যাওয়া যাবে এবং এই ভিডিও ৪২:৩৮ সেকেন্ডের সময় উনার মুখের বাক্যটি শুনে নিজেকে লাকি মনে হচ্ছে, দোয়া করবেন সবাই।"
903,@ksiripon1,"Thank you, Nafeez bhai, to invite him this extra ordinary session "
904,@khanfood3599,"Bongo Academy এর জুবায়ের হোসেন ভাই,, দক্ষিণ এশিয়া সেরা   উদ্যোক্তা,, বাংলাদেশ সরকারের   শত শত কোটি টাকা  বাচিয়েছে app এর মাধ্যমে,,, আরো অনেক  কিছু করেছে দেশের জন্য ,,,, তাকে আপনাদের প্রোগ্রামে দেখতে চাই,, আমি তার স্টুডেন্ট"
905,@khaledhasan631,"I have spent an productive hour with this video. I watched this video without skipping any sequence. The story telling was great from Shahrose vai. Currently,, I am studying in CSE but I like this type podcast by which I can spent my leisure time very productively and this video is one of them. Thanks a lot. Doing great guys."
906,@EnglishandArabiclearning,অসাধারণ ! আমি ফারদি ভাইয়ার ইবুক পড়েছি ।মেসেজে কথাও হয়েছে ।উনি বলেছিলেন আমাকে হেল্প করবেন ।তারপর আর কথা হয়নি আমার ব্যস্ততার কারনে ।
907,@rdvampire2789,"Thanks for sharing a lot of information.I have learnt a lot of things today.
After a lot of time i have completed watching a long video."
908,@ashanulkabir4651,সত্যিই অসাধারণ। কখন যে সময় শেষ হয়েছে বুঝতেই পারলাম না। আরও শোনার জন্য প্রস্তুত ছিলাম কিন্তু ততক্ষণে শেষ।
909,@farid55555,স্টোরি টেলিং শেখার জন্য বই টার নাম কি ভাই? যেটা এই ভিডিও তে উল্লেখ করেছিলেন।
910,@shohansarkar2875,চমৎকার আলোচনা। ShahRose Fardi ভাই সত্যিকার অর্থেই একজন অসাধারণ ব্যাক্তি। 
911,@anik345612,Urine color sofa ?
912,@Dreamwins2001,This podcast is exclusive informative and helpful for everyone..
913,@ElhamBinAhmed,"Well, marketing is a cool thing we agree.  But is it morally fine to sell a stuff at 2000 which should be sold at 1000? Won't it be injustice if we think about the quality?"
914,@habibbdtosa2512,Thanks so much every one have nice movement
915,@PSI420sahidul,"আমি সারি্যাজ
 ভাইয়ের ফ্রি কোর্সটা সম্পূণ করেছি। সারিয়াজ সত্যি জিনিয়াস"
916,@pacmishaliproduct3928,একটাবারো আপনার এক্স মেন্টর মোজতাহিদুল ইসলামের কথা বললেন না আরে আপনি যে কথাগুলো বলতেছেন এইগুলো মেন্টর মোজতাহিদুল ইসলামের কোর্সের দেখানো কথাগুলো শুধুমাত্র একটু রং চং মিশিয়ে বলতেছেন।
917,@asifahmad9132,This guy is a true Marketing Genius
918,@MdAbuTaherTareq,just watched this without skipping a second. please arrange something more specific on product research ... I like your podcasts ... hope people will get better strategy from you.. 
919,@edukashion-jn3fz,"things I learnt in a new fashion:
-> you can start with zero capital (creating content, funneling people who want to read it to an ebook)
-> storytelling, capturing ATTENTION and giving them a call to action "
920,@golalu7652,I want to make something.
921,@tutulsd3316,"একটানা শুনতে হল, অনেক গুলো ব্যাপার নিশ্চিত হলাম, ধন্যবাদ।"
922,@asgharkazi6376,Love it 
923,@ru_shanto,কোর্স বিক্রি করে বড়লোক। দোকাবাজের কাছে থেকে সবায় সাবধান থাকবেন। বাঙ্গালি ইমোশনাল দেখে ধোকাবাজের কোর্স কিনে।
924,@guessemojis,Really valuable 
925,@OppoX3lite,"সাহরোজ ফারদি ভাইকে আমি চিনি ২ বছর থেকে... আমি উনার অনেক কোর্স কিনেছি... ads making,  animation এইগুলও...."
926,@parvezwdadm,"সারজ ফারদি ভায়ের কোর্স থেকে আলহামদুলিল্লাহ অনেককিছু শিখতে পেরেছি আলহামদুলিল্লাহ, আর এই ভিডিও থেকে তার কিছু প্লান বুঝতে পারলাম, আর কিছু না হলেও তার রিকমেন্ড করা স্টোরি টেলিং এর বইটা পড়তেই হবে"
927,@mdmahdihasantushar,One of the best prodcast
928,@mr_afraz,Love From Howrah 🇮🇳
929,@farhanmahmud2042,Your new set is just awosome
930,@21jenisa13,আমি আপনার এডগুলি দেখতে চাই  কিভাবে
931,@abumuhammad9190,"মনে প্রবল জেদ+সাহস নিয়ে কাজ করতে হবে,
ফারদি ভাই উজ্জ্বল দৃষ্টান্ত ..."
932,@faiaxakib,"Now, that's called a setup and branding "
933,@shakilencrypted2339,Bring Numeri sattar apar from ACS. He recently generated 12 crores from a single course(2)
934,@b.m.sajolmahmud6752,In a word mind blowing. We should take an effective step to make life meaningful.
935,@Sksadi10,"20 years old me watching this video.
After 5 years I want to be successful like him."
936,@ArifulIslam-id8yl,I think this podcast will be hit 
937,@md.nayemulhaque7128,"what,s the name of book seller?"
938,@theaajbranding2406,One of the best podcast. 
939,@sunnahlove0156,আসসালামু আলাইকুম নাফিস ভাইয়া৷ আপনারা ২ সেন্ট পডকাস্টে  Fahmid Al Nayeem ভাইকে আনেন। যিনি ১ দিনে লাইভে ১০ লক্ষ টাকা সেল করে দেখিশেছিলেন।
940,@md.mostafizurrahmanshovon1596,Good podcast
941,@towsefahmed9010,"One of the best postcard in 2cent podcast. 
Love from dhaka ️ thanks for sharing your thoughs and we know you are the greatest mentor in the field.
Difference between you and other marketer?"
942,@AzmiraKhatun-bh6um,"ভাইয়া, আপনাদের অথিতির নাম কি?"
943,@parthacb,This is literally the best podcast on the 2 cents podcast.  You just listen to his words.
944,@modasser2053,Very helpful
945,@togormondol2602,"আসলে ফারদি ভাই অসাধারন একজন,উনার কাছ থেকে অনেক কিছু শেখার আছে..."
946,@parashsaif2745,মাশাল্লাহ.. 
947,@ayshasiddika2273,অনেক ধন্যবাদ ফারদি ভাইয়াকে। আজ স্টোরি টেলিং টাইপের এড করে যে মানুষের হৃদয় ছোঁয়া যায় কোন একটা প্রোডাক্টের প্রতি এতটা আকর্ষিত করা যেতে পারে এটার সত্যিকার অর্থে অনুধাবনটা আমার আজকে হল।
948,@GWMASH69,ভাই সিরিয়াসলি ভিডিও টা দেখে শেষ করে ফেসবুক ডুকলাম আর তার এড চলে আসলো।  এখন তাই আবার এসে কমেন্ট করলাম 
949,@kawsarahmed6314,".আসলে ফারদি ভাই অসাধারন একজন,উনার কাছ থেকে অনেক কিছু শেখার আছে."
950,@AfsanaAkterDolon,thank you so much vaiya
951,@mohammedmozammelhossain3424,অসাধারণ 
952,@user-ex5um6el5n,"Unake deke ami amr journey start korsi… 
Purai hopeless silam … hoito kisu hobe na amk diye … but vhai k deke abr new start korlam sob… inshallah vai er sathe deka korte jabo akdin️"
953,@serkitpolapain9204,Best Podcast...অনেক কিছু শেখার আছে
954,@thoughtscapes-official,it was a great podcast.please bring antik mahmud to this podcast next time.
955,@md.sabbirhoshen2419,copy past করে বেশি দূর যেতে পারবা না ভাই তুমি আমাদের মেন্টর মুজদাহিদুল ইসলামের পুরো কোর্স কপি করে যাচ্ছ বেশির ভাগ কথায় কপি করা। তুমি সৎ  থাকলে আরো ভালো কিছু করতে পারতা আল্লাহ্ ছাড় দেন ছেড়ে দেন না। তুমার এই পাপের ফল তুমি একদিন পাবা ইন শা আল্লাহ্
956,@user-pn6vr4hf8o,১ঘন্টা ১৮ মিনিট কিভাবে শেষ হলো বুঝতেই পারিনি আলহামদুলিল্লাহ
957,@b-to-a-learning,"Vai sotti kotha bolte ami shahrose fardi vaiyer duita course korecilam, Jeta onar ager course cilo... Ami kono rokom value paini sei course theke.. Tai ekhon jei lok thokanor byabosa chalu korece setao korini.. 
Ami sobaike bolte chai ei comment ami ekanto personally sokolke sotorko korar jonno koreci.. Asole fardi vai nijer business valo vabe korte pare,,But apnake kokhonoi se value ba support provide korben na"
958,@nasifshahriar4375,"অসাধারণ পডকাস্ট, মন্ত্রমুগ্ধের মত দেখেছি। "
959,@alifhaider7866,আমি আপনাদের প্রতিটা podcast একদম আপলোড দেওয়ার সাথে সাথে এক বসায় শুরু থেকে শেষ পর্যন্ত খুবই মনোযোগ সহকারে দেখি। এবং আমি ব্যাপকভাবে লাভবান। দয়া করে সোলায়মান সুখন ভাইকে আপনাদের podcast-এ আনুন। অনেক খুশি হবো।
960,@shahedsalman9325,"আমি Shahrose Fardi ভাই এর ফেইসবুক মার্কেটিং কোর্স করেছি।
সত্যি বলতে আসলেই বাংলাদেশে এমন একজন'ও নেই যে ওনার মতো বোঝানোর ক্ষমতা রাখে তাও এত্তো ডিপলি ভাবে ️"
961,@user-si1rc2sg7z,"Shahrose Fardi Recommended  book ""Building a Story Brand by Donald Miller"""
962,@boshontodut,অসম্ভব রকমের জিনিয়াস 
963,@babyshopgallery1,ভাই অনেক কিছু জানতে পারলাম অনেক ভালো লাগলো সারস ফারদিন ভাই মানেই ভিন্ন কিছু  আল্লাহ তাআলা আপনাকে সুস্থ রাখুক
964,@user-ig1tn6cf6o,Excellent !!!
965,@cartoonghor7748,"go ahead brother,its gonna viral and you really deserve it"
966,@Misternaught,ভালো লাগলো অনেক কিছুই জানলাম l
967,@ArifulIslam-xm7ki,"Now, that's called a setup and branding !"
968,@freelancersajib6803,"ফারদি ভাইয়ের কোর্স এ যা আছে, এর আগে এগুলো পাই নি। অনেক কিছু থেকে আমরা পিছিয়ে। ধন্যবাদ ফারদি ভাইয়া এমন কিছু দেয়ার জন্যে আমাদের। দোয়া করি আরো অনেকদুর এগিয়ে যান। "
969,@AdventureWorldEntertainment,Productive video
970,@tarikzaman1348,Just awesome..
971,@khadijamim6530,ফ্রিল্যান্সিং সেক্টরে আপনার গাইডলাইন আমাদের প্রয়োজন
972,@adifas9848,Best episode 
973,@SURAIYASHIFA,I wish this podcast was 10 hours long
974,@mohammedabdussubhan9182,Awesome
975,@likhonkhan86,আমাদের ময়মনসিংহের গর্ব️
976,@JibonVai2.0,ভাইএর সব ভিডিও দেখে বিসনেস ও করতেছি ইনশাআল্লাহ। ভাই একটা অন্য রকম জিনিস। ভালো বাসা রইলো এই প্রোডকাস্ট থেকেও অনেক কিছু শিখলাম। আমি হাটতে পারি নাহ হুইলচেয়ারে চলাচল। তবে অনলাইন এ বিসনেস অনেক ভালো লাগে। মানে এটা ভালো বাসার জিনিস এর মত।
977,@atiqul6490,Best Podcast... Best of luck vaiya ️
978,@BMOMOR-420,উনি আসলেই একজন ভালো মেন্টর ওনার কাছ থেকে অনেক কিছু শিখার আছে। তবে আমরা যারা জিরো আমাদের একটু সহযোগিতা করলে আমরা খুবই উপক্রিত হই। প্লিজ
979,@abubinyousuf,Fardi bhai is a good mentor..
980,@easternalliance7496,I wish you all the best. Congratulations Mr.Fardi.
981,@Mental_Health_by_Juthi,Amio Psychologyr student......
982,@penbook5096,ইনশাআল্লাহ ফারদি ভাইয়ার সাথে খুব তাড়াতাড়ি দেখা করবো️
